"address","name","chain","fee"
"BTC_SEGWITBTC","BTC","SEGWITBTC",0.001
"0x77146784315ba81904d654466968e3a7c196d1f3","TREE","BSC",2.6e-05
"0G_0G","0G","0G",0.001
"0xf78d2e7936f5fe18308a3b2951a93b6c4a41f5e2","OM","BSC",0.3
"0xceba9300f2b948710d2653dd7b07f33a8b32118c","USDC","CELO",0.05
"85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ","W","SOL",8.05
"0xa2120b9e674d3fc3875f415a7df52e382f141225","ATA","BSC",0.36
"0x3a304c7feba2d819ea57c3542d68439ca2c386ba02159c740f7b406e592c62ea::haedal::HAEDAL","HAEDAL","SUI",1.65
"0x5ffd0eadc186af9512542d0d5e5eafc65d5afc5b","HEMI","BSC",0.68
"0xfab99fcf605fd8f4593edb70a43ba56542777777","ZBT","BSC",0.17
"0x4cb9a7ae498cedcbb5eae9f25736ae7d428c9d66","XAI","ARBITRUM",7.6
"XMR_XMR","XMR","XMR",0.0
"STEEM_STEEM","STEEM","STEEM",0.01
"XVG_XVG","XVG","XVG",1.0
"0xd57f2e190c11cffc667aa5ad026cd4c8de0772a7","SUI","BSC",0.013
"XRP_XRP","XRP","XRP",0.2
"0xa64455a4553c9034236734faddaddbb64ace4cc7","SANTOS","BSC",0.0073
"EQAvlWFDxGF2lXm67y4yzC17wYKD9A0guwPkMs1gOsM__NOT","NOT","TON",82.0
"ICP_ICP","ICP","ICP",0.0003
"0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5","PROM","BSC",0.0018
"core.vaulta","A","EOS",0.08
"USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB","USD1","SOL",1.0
"XTZ_XTZ","XTZ","XTZ",0.1
"PIVX_PIVX","PIVX","PIVX",0.04
"0x2dff88a56767223a5529ea5960da7a3f5f766406","ID","BSC",0.11
"0x99956d38059cf7beda96ec91aa7bb2477e0901dd","DIA","BSC",0.025
"ALGO_ALGO","ALGO","ALGO",0.008
"MITO_MITO","MITO","MITO",1.0
"0xfb93ee8152dd0a0e6f4b49c66c06d800cf1db72d","YB","BSC",0.049
"0100000000000000000000000000000000000000","ONT","ONT",1.0
"KDA_KDA2","KDA","KDA2",0.001
"S_SONIC","S","SONIC",0.004
