"address","name","chain","fee"
"EQAIb6KmdfdDR7CN1GBqVJuP25iCnLKCvBlJ07Evuu2dzP5f","USDE","TON",0.0
"0x4c87da04887a1f9f21f777e3a8dd55c3c9f84701","COMMON","BASE",87.33624455
"0G_0G","0G","0G",0.07341605
"0x79e8a5ddb82aa53854c1348c2865fd00732a41937dc1c160a4a50205537bd740","TOMA","Aptos",44064.99586891
"0xff583dc5ddc7c0bb3625fff39a587a2000e78888","HOLD","BEP20",0.11627907
"6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump","VINE","SOL",23.16423443
"85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ","W","SOL",14.958864
"G_Gravity","G","Gravity",72.34843004
"0xc967dabf591b1f4b86cfc74996ead065867af19e","ZKL","ZKLINK",123.15270936
"0x4cb9a7ae498cedcbb5eae9f25736ae7d428c9d66","XAI","ArbitrumOne",8.23045268
"0xfab99fcf605fd8f4593edb70a43ba56542777777","ZBT","BEP20",0.74586048
"MAS_MAS","MAS","MAS",216.91974
"XRP_XRP","XRP","XRP",0.2
"EQAvlWFDxGF2lXm67y4yzC17wYKD9A0guwPkMs1gOsM__NOT","NOT","TON",648.50843061
"DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump","AVAAI","SOL",74.07407408
"0xa64455a4553c9034236734faddaddbb64ace4cc7","SANTOS","BEP20",0.10964913
"0x80563fc2dd549bf36f82d3bf3b970bb5b08dbddb","RVV","BEP20",17.54303893
"ICP_ICP","ICP","ICP",0.00024
"HYPE:0x0d01dc56dcaaca66ad901c959b4011ec","HYPE","HYPE",0.04136505
"0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5","PROM","BEP20",0.01466276
"core.vaulta","A","Vaulta",0.08
"CN162nCPpq3DxPCyKLbAvEJeB1aCxsnVTEG4ZU8vpump","A47","SOL",53.873506
"XTZ_XTZ","XTZ","XTZ",0.137932
"0x2dff88a56767223a5529ea5960da7a3f5f766406","ID","BEP20",1.40449439
"ALGO_ALGO","ALGO","ALGO",0.008
"NAVX_SUI","NAVX","SUI",5.60852496
"0100000000000000000000000000000000000000","ONT","Ontology",1.0
"0xed66ec1acb7dbd0c01cccff33e3ff1f423057c21","VT","BEP20",50.16722409
"S_SONIC","S","SONIC",0.01294499
"TRX_TRX","TRX","TRX",0.8
"hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux","HNT","SOL",0.42881647
"NIL_Nillion","NIL","Nillion",1.0
"0x1111111111166b7fe7bd91427724b487980afc69","ZORA","BASE",12.80327764
"EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","USDC","SOL",1.000201
"WAL_SUI","WAL","SUI",0.92081032
"0x59264f02d301281f3393e1385c0aefd446eb0f00","PARTI","BASE",1.45348838
"0x98d0baa52b2d063e780de12f615f963fe8537553","KAITO","BASE",3.83141763
"KAS_KASPA","KAS","KASPA",5.0
"0x6d5ad1592ed9d6d1df9b93c793ab759573ed6714","BROCCOLI","BEP20",7.0754717
"QTUM_QTUM","QTUM","QTUM",0.05
"0xf39e4b21c84e737df08e2c3b32541d856f508e48","ESPORTS","BEP20",0.70136064
"bioJ9JTqW62MLz7UKHU69gtKhPpGi1BQhccj2kmSvUJ","BIO","SOL",12.01923077
"6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN","TRUMP","SOL",0.118751
"0x55d398326f99059ff775485246999027b3197955","USDT","BEP20",0.0
"XION_XION","XION","XION",0.33428047
"CETUS_SUI","CETUS","SUI",4.16667
"U2U_UnicornUltraSolaris","U2U","UnicornUltraSolaris",0.01
"INJ_INJECTIVE","INJ","INJECTIVE",0.01
"0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b","VIRTUAL","BASE",2.80210158
"PCI_PAYCOIN","PCI","PAYCOIN",0.0
"MINA_MINA","MINA","MINA",0.5
"0x92aa03137385f18539301349dcfc9ebc923ffb10","SKYAI","BEP20",7.01918578
"THETA_ThetaToken","THETA","ThetaToken",0.2
"0xac1bd2486aaf3b5c0fc3fd868558b082a531b2b4","TOSHI","BASE",1376.08366589
"0x4200000000000000000000000000000000000042","OP","Optimism",0.1
"0x14778860e937f509e651192a90589de711fb88a9","CYBER","Optimism",1.00503
"RVN_RVN","RVN","RVN",1.0
"0xe15fc38f6d8c56af07bbcbe3baf5708a2bf42392","USDC","SEIEVM",1.00020005
"CORE_CoreDAO","CORE","CoreDAO",0.0012
"0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c","BTC","BEP20",1.37e-06
"FON_FONSmartChain","FON","FONSmartChain",0.005
"Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs","GRASS","SOL",2.80504909
"0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8","PENDLE","ArbitrumOne",0.06209252
"0x868fced65edbf0056c4163515dd840e9f287a4c3","SIGN","BASE",26.53223667
"orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE","ORCA","SOL",0.657031
"VIC_VICTION","VIC","VICTION",0.01
"DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7","DRIFT","SOL",2.450981
"0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","USDC","BASE",0.100021
"OSMO_Osmosis","OSMO","Osmosis",0.06
"STX_stacks","STX","stacks",1.5
"ETC_ETC","ETC","ETC",0.008
"0x9521728bf66a867bc65a93ece4a543d817871eb7","CREO","BEP20",43.47826087
"0x77d547256a2cd95f32f67ae0313e450ac200648d","LAZIO","BEP20",0.17730497
"TXL6rJbvmjD46zeN1JssfgxvSo99qC8MRT","SUNDOG","TRC20",52.9661017
"0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7","USDT","AVAXC-Chain",0.11
"0x5c46bff4b38dc1eae09c5bac65872a1d8bc87378","MERL","MERLIN",10.18568
"9PR7nCP9DpcUotnDPVLUBUZKu5WAYkwrCUx9wDnSpump","BAN","SOL",14.19244962
"0x477c2c0459004e3354ba427fa285d7c053203c0e","LIGHT","BEP20",0.077102
"ATOM_ATOM","ATOM","ATOM",0.01
"61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump","ARC","SOL",78.125
"2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump","PNUT","SOL",7.57575758
"0x5e0e90e268bc247cc850c789a0db0d5c7621fb59","NXPC","AVAXC-Chain",0.44
"0xc08cd26474722ce93f4d0c34d16201461c10aa8c","CARV","BASE",0.64977258
"DOT_PolkadotAssetHub","DOT","PolkadotAssetHub",0.05
"VET_VET","VET","VET",3.0
"0xe34c91815d7fc18a9e2148bcd4241d0a5848b693","USDC","Morph",0.100021
"ACE_ESC","ACE","ESC",0.006
"0x810df4c7daf4ee06ae7c621d0680e73a505c9a06","P","BEP20",1.29198967
"MAPO_MAPO","MAPO","MAPO",0.035
"0xbe7e12b2e128bc955a0130ffb168f031d7dd8d58","BOOST","BEP20",0.8641001
"0x783c3f003f172c6ac5ac700218a357d2d66ee2a2","B2","BEP20",0.13562633
"0x9c8b5ca345247396bdfac0395638ca9045c6586e","RWA","BEP20",28.27787728
"RoamA1USA8xjvpTJZ6RvvxyDRzNh6GCA1zVGKSiMVkn","ROAM","SOL",12.28501229
"JB2wezZLdzWfnaCfHxLg193RS3Rh51ThiXxEDWQDpump","LABUBU","SOL",393.700788
"0xba12bc7b210e61e5d3110b997a63ea216e0e18f7","C","BASE",8.98311175
"0x5d3a12c42e5372b2cc3264ab3cdcf660a1555238","ARIA","BEP20",0.85655551
"0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT","Polygon",0.2
"WEMIX_WEMIXMainnet","WEMIX","WEMIXMainnet",0.1
"0x0c1dc73159e30c4b06170f2593d3118968a0dca5","GPS","BASE",25.25252526
"0x5c85d6c6825ab4032337f11ee92a72df936b46f6","MUBARAK","BEP20",7.09891151
"0x551897f8203bd131b350601d3ac0679ba0fc0136","NFP","BEP20",3.76884423
"4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs","PRCL","SOL",24.44987776
"0xfd418e42783382e86ae91e445406600ba144d162","ZRC","ZRC",219.61932651
"0xe0cd4cacddcbf4f36e845407ce53e87717b6601d","ICNT","BASE",0.53879311
"ML_ML","ML","ML",5.32
"CHZ_CAP20","CHZ","CAP20",0.2
"0xa227cc36938f0c9e09ce0e64dfab226cad739447","OPEN","BEP20",0.41566215
"TNSRxcUxoT9xBG3de7PiJyTDYu7kskLqcpddxnEJAS6","TNSR","SOL",18.60119048
"0xa4b68d48d7bc6f04420e8077e6f74bdef809dea3","BGSC","BEP20",35.59563361
"0xa260e12d2b924cb899ae80bb58123ac3fee1e2f0","HOOK","BEP20",2.48344371
"0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9","USDT","ArbitrumOne",0.2
"0x3dc8e2d80b6215a1bccae4d38715c3520581e77c","EPT","BEP20",38.32396526
"CRO_CronosChain","CRO","CronosChain",1.0
"0xd55c9fb62e176a8eb6968f32958fefdd0962727e","FHE","BEP20",4.12654746
"0xc07e1300dc138601fa6b0b59f8d0fa477e690589","Q","BEP20",5.93727859
"0xc48823ec67720a04a9dfd8c7d109b2c3d6622094","MCADE","BASE",11.61440186
"HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3","PYTH","SOL",9.082653
"0x714db550b574b3e927af3d93e26127d15721d4c2","GMT","Polygon",0.39
"GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump","ACT","SOL",47.77830865
"DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263","BONK","SOL",71123.75534
"0x1aecab957bad4c6e36dd29c3d3bb470c4c29768a","BSU","BEP20",4.62556085
"0x37a645648df29205c6261289983fb04ecd70b4b3","ANIME","ArbitrumOne",22.39641658
"0xfdffb411c4a70aa7c95d5c981a6fb4da867e1111","SAHARA","BEP20",2.00026671
"0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd","JOE","AVAXC-Chain",26.62
"Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB","USDT","SOL",1.0
"0xd068c52d81f4409b9502da926ace3301cc41f623","MBX","Kaia",9.81354269
"0xa45f5eb48cecd034751651aeeda6271bd5df8888","FROGGIE","BEP20",37.50937735
"TFczxzPhnThNSqr5by8tvxsdCFRRz6cPNq","NFT","TRC20",192680.0
"M_MEMECORE","M","MEMECORE",4.108e-05
"0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377","MBOX","BEP20",3.15126051
"FRAGMEWj2z65qM62zqKhNtwNFskdfKs4ekDUDX3b4VD5","FRAG","SOL",79.2393027
"0x44a83a012b926853dfc1bbe2ec5bef37126067e8","MAT","Matchain",2.75035067
"ERpDpYmuifJUKbaB1Dv9hnJ67RM21Jujmxz18JCeDzbr","K","SOL",30.87372646
"0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7","ETH","Starknet",0.0001
"0xa1faa113cbe53436df28ff0aee54275c13b40975","ALPHA","BEP20",15.88983051
"ARK_ARK","ARK","ARK",0.93897
"0x0a8d6c86e1bce73fe4d0bd531e1a567306836ea5","COAI","BEP20",0.05610413
"ETH_zkSyncEra","ETH","zkSyncEra",4e-05
"0xd029b392580d555f35cca1987f27d248cf883716","PHY","BEP20",29.68533545
"BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K","IO","SOL",3.08641976
"NEAR_NEARProtocol","NEAR","NEARProtocol",0.008
"0x311434160d7537be358930def317afb606c0d737","NAKA","Polygon",5.57104
"0xd29687c813d741e2f938f4ac377128810e217b1b","SCR","SCROLL",0.2
"0x3c499c542cef5e3811e1192ce70d8cc03d5c3359","USDC","POLYGON",0.64
"0x94b008aa00579c1307b0ef2c499ad98a8ce58e58","USDT","Optimism",0.15
"0xc7d67a9cbb121b3b0b9c053dd9f469523243379a","USDT","Morph",0.1
"0xf0151f528127558851b39c2cd8aa47da7418ab28","FLM","NEO3",1.0
"0xaf88d065e77c8cc2239327c5edb3a432268e5831","USDC","ArbitrumOne",0.200041
"POLYX_Polymesh","POLYX","Polymesh",1.0
"EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp","FIDA","SOL",17.574693
"KAIA_Kaia","KAIA","Kaia",0.005
"BLUE_SUI","BLUE","SUI",2.98062594
"0x6985884c4392d348587b19cb9eaaf157f13271cd","ZRO","ArbitrumOne",0.12484395
"0x000ae314e2a2172a039b26378814c252734f556a","ASTER","BEP20",0.14747813
"0x67ee3cb086f8a16f34bee3ca72fad36f7db929e2","DODO","BEP20",5.0
"JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN","JUP","SOL",2.41838
"FLOW_FLOW","FLOW","FLOW",0.01
"0x2cfc85d8e48f8eab294be644d9e25c3030863003","WLD","WLD",0.11933175
"jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL","JTO","SOL",0.96618358
"0x0f81001ef0a83ecce5ccebf63eb302c70a39a654","DOLO","BERA",12.20703125
"EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs","USDT","TON",0.15
"FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P","MELANIA","SOL",7.518797
"0x4bfaa776991e85e5f8b1255461cbbd216cfc714f","HOME","BEP20",6.9341716
"SarosY6Vscao718M4A778z4CGtvcwcGef5M9MEH1LGL","SAROS","SOL",13.77220769
"AIA_SUI","AIA","SUI",0.08457175
"SOPH_Sophon","SOPH","Sophon",40.33884631
"7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx","GMT","SOL",39.82477101
"0xd34625c1c812439229ef53e06f22053249d011f5","ARG","CAP20",1.0
"0xdaf1695c41327b61b9b9965ac6a5843a3198cf07","STO","BEP20",0.94732854
"XLM_StellarLumens","XLM","StellarLumens",0.02
"LUNC_Terra","LUNC","Terra",70.0
"0x4ed4e862860bed51a9570b96d89af5e1b0efefed","DegenReborn","BASE",51.20328
"0x7ddc52c4de30e94be3a6a0a2b259b2850f421989","GOMINING","BEP20",0.36665852
"ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82","BOME","SOL",987.1668312
"0x3d9be0ac1001cd81c32464276d863d2ffdca4967","HAEDAL","BEP20",1.68236878
"LAT_LAT","LAT","LAT",1.0
"0xe5417af564e4bfda1c483642db72007871397896","GNS","Polygon",0.14
"0x12bb890508c125661e03b09ec06e404bc9289040","RACA","BEP20",3468.20809249
"CSPR_CSPR","CSPR","CSPR",5.0
"0x715d400f88c167884bbcc41c5fea407ed4d2f8a0","AXS","BEP20",0.101833
"0x3ecb529752dec6c6ab08fd83e425497874e21d49","PINGPONG","BEP20",2.74805804
"0x19ed254efa5e061d28d84650891a3db2a9940c16","SUP","BEP20",1.62884136
"0x19ca0f4adb29e2130a56b9c9422150b5dc07f294","OG","CAP20",1.0
"0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413","CHEEMS","BEP20",108318.89081456
"XPL_Plasma","XPL","Plasma",0.03
"EQCvxJy4eG8hyHBFsZ7eePxrRsUQSFE_jpptRAYBmcG_DOGS","DOGS","TON",9293.6802974
"74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump","SWARMS","SOL",69.58942241
"0xc729777d0470f30612b1564fd96e8dd26f5814e3","SAPIEN","BASE",0.634035
"EQDfglfrf0Os38cKPHaOKqQenJpls2s0cey8acQFjPC_VERT","VERT","TON",377.92894936
"KAVA_KAVA","KAVA","KAVA",0.03
"0x92516e0ddf1ddbf7fab1b79cac26689fdc5ba8e6","HUMA","BEP20",27.100272
"DOT_DOT","DOT","DOT",0.08
"FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY","BMT","SOL",24.54590084
"0x3b4de3c7855c03bb9f50ea252cd2c9fa1125ab07","IDOL","BEP20",4.06945199
"rMxCKbEDwqr76QuheSUMdEGf4B9xJ8m5De","RLUSD","XRPTOKEN",0.300061
"ETH_BASE","ETH","BASE",4e-05
"LTC_LTC","LTC","LTC",0.001
"0x912ce59144191c1204e64559fe8253a0e49e6548","ARB","ArbitrumOne",0.6455778
"0xce7c3b5e058c196a0eaaa21f8e4bf8c2c07c2935","BOOM","BEP20",5.54323726
"VANA_VANA","VANA","VANA",0.34568585
"0xcaae2a2f939f51d97cdfa9a86e79e3f085b799f3","TUT","BEP20",7.31600254
"NS_SUI","NS","SUI",2.71739131
"DEEP_SUI","DEEP","SUI",2.487563
"0x6eaea1ed457e06f8cf6ee7adf34e621844c3b0fc","NESS","Polygon",23.70792
"0xd82544bf0dfe8385ef8fa34d67e6e4940cc63e16","MYX","BEP20",0.0651183
"OAS_OASYS","OAS","OASYS",1.0
"0x696f9436b67233384889472cd7cd58a6fb5df4f1","AVNT","BASE",1.53791736
"0x24fcfc492c1393274b6bcd568ac9e225bec93584","MAVIA","BASE",0.88230105
"TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9","JST","TRC20",10.0
"0x4dec3139f4a6c638e26452d32181fe87a7530805","ART","BASE",262.32948584
"DYDX_DYDX","DYDX","DYDX",0.02
"0x29219dd400f2bf60e5a23d13be72b486d4038894","USDC","SONIC",0.0
"0xaf48b7e315a52518cfbf7d96c455d9dfad94cb48","IOST","BEP20",66.10841781
"38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump","GORK","SOL",568.82821388
"MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u","ME","SOL",2.232642
"0x15ac90165f8b45a80534228bdcb124a011f62fee","MOEW","BASE",245.70025
"BCH_BCH","BCH","BCH",0.0001
"0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b","AIDOGE","ArbitrumOne",8438818565.400844
"EQCAj5oiRRrXokYsg_B-e0KG9xMwh5upr5I8HQzErm0_BLUM","BLUM","TON",14.20858199
"0x23ee2343b892b1bb63503a4fabc840e0e2c6810f","AXL","ArbitrumOne",1.143773
"NERO_Nero","NERO","Nero",4.8130144
"ETH_ArbitrumOne","ETH","ArbitrumOne",4e-05
"KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS","KMNO","SOL",15.01501502
"rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof","RENDER","SOL",0.42698549
"AXL_AXELAR","AXL","AXELAR",5.718861
"0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34","USDE","Morph",0.10008007
