"address","name","chain","fee"
"0xf0db65d17e30a966c2ae6a21f6bba71cea6e9754","BARD","bard",6.2329138
"0x3082CC23568eA640225c2467653dB90e9250AaA0","RDNT","arc20rdnt1",5.0754
"0x163f8C2467924be0ae7B5347228CABF260318753","WLD","erc20wld",4.5904412
"THS2ZuQowumzFPD1z3wchB1PijWMggUgmA","KRRX","krrx",13.4126
"0x699ccf919c1dfdfa4c374292f42cadc9899bf753","VSN","vsn",35.479258
"0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd","DODO","dodo",124.4082
"6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump","VINE","vine",43.1968
"85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ","W","w",27.8465
"EGLD_egld","EGLD","egld",0.002
"0x6e6F6d696e61decd6605bD4a57836c5DB6923340","NOM","nom",195.73288
"0x3a304c7feba2d819ea57c3542d68439ca2c386ba02159c740f7b406e592c62ea::haedal::HAEDAL","HAEDAL","haedal",0.18
"0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB","COW","cow",17.412758
"0xd85c31854c2b0fb40aaa9e2fc4da23c21f829d46","PING","ping",191.4902
"0xba50933c268f567bdc86e1ac131be072c6b0b71a","ARPA","arpa",214.5959
"0x84EAac1B2dc3f84D92Ff84c3ec205B1FA74671fC","CAMP","camp",304.27942
"0x56072C95FAA701256059aa122697B133aDEd9279","SKY","sky",68.925177
"0x4b9278b94a1112cAD404048903b8d343a810B07e","HIFI","hifi",9.8756241
"DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump","AVAAI","avaai",139.1982
"0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c","BNT","bnt",6.6644825
"0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5","PROM","prom",0.06212672
"core.vaulta","A","a",0.1
"TU3kjFuhtEo42tsCBtfYUAZxoqQ4yuSLQ5","STRX","strx",1.3543
"KSM_ksm","KSM","ksm",0.01
"0x0f5d2fb29fb7d3cfee444a200298f468908cc942","MANA","mana",16.982564
"0xC581b735A1688071A1746c968e0798D642EDE491","EURT","eurt",3.4552
"0xFDFfB411C4A70AA7C95D5C981a6Fb4Da867e1111","SAHARA","sahara",52.540852
"USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB","USD1","solusd1",1.9616
"COTI_coti","COTI","coti",20.0
"MANTA_manta","MANTA","manta",0.6308
"BNB_bnb1","BNB","bnb1",0.00025201
"0x617Cab4aAae1f8dfb3eE138698330776a1e1b324","ARTY","arty",1.456693
"0xb2617246d0c6c0087f18703d576831899ca94f01","ZIG","zig",43.76057
"TXDk8mbtRbXeYuMNS83CfKPaYYT8XWv9Hz","USDD","trc20usdd",0.5
"0xfB5c6815cA3AC72Ce9F5006869AE67f18bF77006","PSTAKE","pstake",278.37236
"0x825459139C897D769339f295E962396C4F9E4A4D","GAME2","game",1604.7805
"0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72","ENS","ens",0.25715857
"0x3Cb1a1FaC70F13a6a63914F2e9Ad923Cdb5ECe3D","TAO","bep20tao",432.69336
"0xa99b8952d4f7d947ea77fe0ecdcc9e5fc0bcab2841d6e2a5aa00c3044e5544b5::navx::NAVX","NAVX","navx",2.0
"0x91Af0fBB28ABA7E31403Cb457106Ce79397FD4E6","AERGO","aergo",53.140256
"OAS_oas","OAS","oas",0.001
"ONE_one1","ONE","one1",0.3
"GDM4RQUQQUVSKQA7S6EM7XBZP3FCGH4Q7CL6TABQ7B2BEJ5ERARM2M5M","VELO","xlmvelo1",0.5
"0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d","LQTY","lqty",7.4665799
"IOTX_iotx","IOTX","iotx",0.1
"EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","USDC","solusdc",1.9629
"DOT_dot","DOT","dot",0.1
"0x7ABc8A5768E6bE61A6c693a6e4EAcb5B60602C4D","CXT","cxt",275.50183
"0x912CE59144191C1204E64559FE8253a0e49E6548","ARB","arb",0.2518
"VSYS_vsys","VSYS","vsys",1.0
"0x58b6a8a3302369daec383334672404ee733ab239","LPT","lpt",0.80591899
"6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN","TRUMP","trumpsol",0.2588
"0xD29DA236dd4AAc627346e1bBa06A619E8c22d7C5","MAGA","maga",859392.19
"0xA35923162C49cF95e6BF26623385eb431ad920D3","TURBO","turbo",1675.3253
"TOP_top1","TOP","top1",0.1
"0x1Bbe973BeF3a977Fc51CbED703E8ffDEfE001Fed","PORTAL","portal0",156.04051
"25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ","MANEKI","maneki",2157.7784
"0x5cf04716ba20127f1e2297addcf4b5035000c9eb","NKN","nkn",210.7963
"0xf57e7e7c23978c3caec3c3548e3d615c346e79ff","IMX","imx",7.6695488
"0x628A3b2E302C7e896AcC432D2d0dD22B6cb9bc88","LMWR","lmwr",72.957058
"0xf2c88757f8d03634671208935974B60a2a28Bdb3","SHELL","shell",6.3168566
"0x6985884C4392D348587B19cb9eAAf157F13271cd","ZRO","zro",2.4088372
"0x50753CfAf86c094925Bf976f218D043f8791e408","EURR","eurr",3.471619
"0xbe6Ad1eB9876cf3D3f9b85fEeCfB400298E80143","AIC","aic",3.0938599
"0x92aa03137385f18539301349dcfc9ebc923ffb10","SKYAI","skyai",23.449321
"0x69af81e73a73b40adf4f3d4223cd9b1ece623074","MASK","mask",4.675611
"0x8dF723295214Ea6f21026eeEb4382d475f146F9f","EURQ","eurq",3.468151
"0xBA41Ddf06B7fFD89D1267b5A93BFeF2424eb2003","MYTH","erc20myth",55.148851
"ZEUS1aR7aX8DFFJf5QjWj2ftDDdNTroMNGo8YoQm3Gq","ZEUS","zeus",27.008382
"0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063","DAI","polydai",0.01
"0x11eeF04c884E24d9B7B4760e7476D06ddF797f36","MX","mx",1.6715932
"0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","SHIB","shib",1184166.1
"0xc83e27f270cce0A3A3A29521173a83F402c1768b","USDQ","usdq",4.0185
"0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2","CHR","chr1",54.029053
"0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419","DIA","dia",6.7819012
"0xB528edBef013aff855ac3c50b381f253aF13b997","AEVO","aevo",62.352216
"CORE_core","CORE","core",0.04
"0x4200000000000000000000000000000000000042","OP","optop",1.5
