"address","name","chain","fee"
"ATOM3L_eth","ATOM3L","eth",0.01
"0x1cd9a56c8c2ea913c70319a44da75e99255aa46f","OBT","arbitrum",120.0
"0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd","DODO","eth",50.0
"0xf78d2e7936f5fe18308a3b2951a93b6c4a41f5e2","OM","bsc",2.0
"0xa2120b9e674d3fc3875f415a7df52e382f141225","ATA","bsc",11.5
"0xfab99fcf605fd8f4593edb70a43ba56542777777","ZBT","bsc",1.3
"0xb2c7780f0a255a6137e5b39733f5a4c85fe093c549de5c359c1232deef57d1b7","ECHO","aptos",20.0
"HYPE:0x0d01dc56dcaaca66ad901c959b4011ec","HYPE","hype",0.07
"0x0f5d2fb29fb7d3cfee444a200298f468908cc942","MANA","eth",17.5
"0x3ab1a5f76e12202d1ad1548a08a799501581da4e","DIN","bsc",10.0
"0x51477a3002ee04b7542adfe63ccdb50c00ee5147","SLAY","eth",30.0
"0x3073f7aaa4db83f95e9fff17424f71d4751a3073","MOVE","eth",25.0
"0x7448c7456a97769f6cd04f1e83a4a23ccdc46abd","MAV","eth",73.656
"0xe3f2b1b2229c0333ad17d03f179b87500e7c5e01","AEG","matic",1800.0
"DAG_dag","DAG","dag",13.51
"0xe2b1dc2d4a3b4e59fdf0c47b71a7a86391a8b35a","RWA","base",43.52
"0x59264f02d301281f3393e1385c0aefd446eb0f00","PARTI","bsc",4.0
"DOT_dot","DOT","dot",0.14
"MPC_partisia","MPC","partisia",25.0
"0xfb072b42907da2bf7a8e8cb5dcaa790d45fd81a8","K","eth",45.0
"BNB_bsc","BNB","bsc",0.000953
"0x55d398326f99059ff775485246999027b3197955","USDT","bsc",1.0
"ASRRjA1R4RHVk5H9QKKm1jaQqMkxvv6nh5EypPrvwmxQ","ASRR","sol",11.0
"0x6b0faca7ba905a86f221ceb5ca404f605e5b3131","DEFI","eth",900.0
"0x5cf04716ba20127f1e2297addcf4b5035000c9eb","NKN","eth",111.744
"upokt","POKT","poktshannon",50.0
"0xe2ad0bf751834f2fbdc62a41014f84d67ca1de2a","ERA","eth",1.58
"0xa18bf3994c0cc6e3b63ac420308e5383f53120d7","BOBA","boba",10.0
"ZEUS1aR7aX8DFFJf5QjWj2ftDDdNTroMNGo8YoQm3Gq","ZEUS","sol",12.0
"GJtJuWD9qYcCkrwMBmtY1tpapV1sKfB2zUv9Q4aqpump","RIFSOL","sol",600.0
"0x14778860e937f509e651192a90589de711fb88a9","CYBER","optimism",0.6
"0x435ad41e7b383cef98899c4e5a22c8dc88ab67b22f95e5663d6c6649298c3a9d","RION","aptos",1.7
"KAIA_klay","KAIA","klay",5.06
"0x40b8129b786d766267a7a118cf8c07e31cdb6fde","UB","bsc",20.0
"0x4d4574f50dd8b9dbe623cf329dcc78d76935e610","ZEUSETH","eth",830000000.0
"0xa3c322ad15218fbfaed26ba7f616249f7705d945","MV","matic",72.0
"resource_rdx1tknxxxxxxxxxradxrdxxxxxxxxx009923554798xxxxxxxxxradxrd","XRD","radix",250.0
"0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697","OVR","eth",45.0
"0x868fced65edbf0056c4163515dd840e9f287a4c3","SIGN","bsc",12.0
"0xfc1c93a2507975e98b9d0e9260ded61a00152bf1","NAVI","eth",160.0
"VFY_zkverify","VFY","zkverify",12.0
"0xb59c8912c83157a955f9d715e556257f432c35d7","TRUF","arbitrum",39.88
"DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7","DRIFT","sol",2.2
"SUI3S_eth","SUI3S","eth",0.01
"0x42bbfa2e77757c645eeaad1655e0911a7553efbc","BOBA","eth",45.6
"TXL6rJbvmjD46zeN1JssfgxvSo99qC8MRT","SUNDOG","trx",60.0
"0x5c46bff4b38dc1eae09c5bac65872a1d8bc87378","MERL","merlin",8.8
"0xbe0ed4138121ecfc5c0e56b40517da27e6c5226b","ATH","eth",100.0
"0x7e975d85714b11d862c7cffee3c88d565a139eb7","BOMB","bsc",1200.0
"9DHe3pycTuymFk4H4bbPoAJ4hQrr2kaLDF6J6aAKpump","BUZZ","sol",480.0
"0x60f67e1015b3f069dd4358a78c38f83fe3a667a9","ROUTE","eth",350.0
"tnam1q9gr66cvu4hrzm0sd5kmlnjje82gs3xlfg3v6nu7","NAM","namada",75.0
"0xf944e35f95e819e752f3ccb5faf40957d311e8c5","MOCA","eth",55.0
"0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f","SNX","eth",3.4
