# Exchange:,kucoin
# Total coins:,1062

iterator,coin_name
0,SCR
2,WLD
7,JST
12,C
13,JTO
14,D
16,F
17,G
19,W
20,SFP
23,JUP
26,WOO
27,BABYDOGE
30,FLOKI
32,AVNT
34,TUSD
35,COOKIE
36,MUBARAK
43,TURTLE
44,NXPC
45,ID
46,IO
49,1INCH
51,MAV
54,QUICK
55,PENDLE
56,MBL
60,BMT
66,CGPT
71,SOLAYER
72,MANTA
73,CETUS
76,SPK
77,ME
81,TRUMP
88,OP
94,STO
96,QI
101,CAKE
102,SUN
103,ZBT
106,AIXBT
109,RENDER
114,ONT
117,HYPER
118,WLFI
124,KMNO
125,XAI
126,ZEN
131,SXT
132,DOGS
133,CTSI
134,LINEA
136,SHELL
137,C98
141,GAS
142,BOME
146,BONK
149,HMSTR
154,ZK
155,ZKC
157,HUMA
159,CATI
162,DOLO
166,MTL
168,USDT
171,EDU
173,USD1
175,TREE
176,USDC
179,SATS
181,SUPER
183,ANIME
188,RAY
190,ZRO
194,GMT
195,GMX
196,GNS
197,VANRY
202,KACE
206,VTHO
208,ACTSOL
211,VIRTUAL
213,GPS
219,FIDA
222,SOLV
223,TOWNS
225,GRT
228,TLM
230,LUNC
235,HOLO
237,MIRA
238,HOME
250,ASTER
251,DEGO
252,PNUT
253,VOXEL
256,SAHARA
260,ETH
262,NEO
264,ALT
265,ORDI
269,SIGN
272,ORCA
274,USTC
276,TSTBSC
280,MAGIC
281,ALICE
283,TUT
288,PYTH
293,TWT
294,PARTI
295,ARB
297,CAT
299,PUMP
301,BTT
305,2Z
306,ATA
307,OPEN
309,TNSR
312,KAVA
317,NOT
318,WAL
322,AWE
324,HEI
330,WCT
332,HAEDAL
335,PENGU
338,ALPINE
340,DEXE
341,LISTA
344,KAITO
346,RDNT
347,PYR
349,GIGGLE
356,WIF
360,WIN
365,CYBER
371,CHEEMS
375,AAVE
378,ACH
380,AERGO
382,AGLD
385,APE
386,API3
396,AUCTION
398,AXS
400,BAL
401,BANANA
402,BAND
404,BAT
407,BICO
409,BIO
410,BLUR
414,CELR
418,CHZ
420,CLV
421,COMP
424,CRV
426,CTC
427,CVC
428,CVX
432,DEGEN
436,DOOD
439,DUCK
442,EIGEN
444,ELON
447,ENS
449,ETHFI
456,FOXY
457,FXS
459,GALAX
463,GLM
464,GOAT
465,GODS
468,ICE
472,ILV
473,IMX
478,J
483,KNC
486,LDO
488,LINK
489,LOOKS
490,LPT
491,LQTY
492,LRC
496,MAJOR
497,MANA
498,MASK
500,MEMEFI
503,MET
505,MEW
507,MOODENG
510,NAVX
511,NC
513,NEIROCTO
514,NFT
515,NMR
518,OM
523,ORBS
528,PEOPLE
529,PEPE
530,PERP
531,PHA
533,POL
535,PRCL
536,PROMPT
537,PROVE
538,PSTAKE
541,RACA
545,RPL
546,RSR
550,SAFE
552,SAND
554,SD
555,SHIB
556,SKL
557,SKY
558,SLP
560,SNX
562,SONIC
566,SSV
568,STORJ
569,STRK
572,SUSHI
573,SWEAT
574,SWFTC
575,T
579,TOSHI
581,TRB
583,TURBO
585,UMA
586,UNI
590,VINE
592,VRA
594,XAUT
601,YFI
602,YGG
603,ZBCN
606,ZEUS
609,ZKJ
612,ZRX
616,SUNDOG
617,DBR
619,COQ
628,PONKE
630,SAROS
632,WEN
640,Q
648,ALPHA
649,SWTCH
650,ART
654,TLOS
658,PINGPONG
661,PORTALS
662,BSU
668,LIGHT
