Монета,место где купить,место куда продать,прибыль,время
BTC,Binance,Kraken,0.25,10:00:00.000
ETH,Coinbase,Binance,-0.19,10:00:00.000
SOL,Kraken,Coinbase,0.96,10:00:00.000
XRP,Bybit,Binance,-0.0,10:00:00.000
BTC,Binance,Kraken,0.43,10:00:00.500
ETH,Coinbase,Binance,0.15,10:00:00.500
SOL,Kraken,Coinbase,1.03,10:00:00.500
XRP,Bybit,Binance,0.04,10:00:00.500
BTC,Binance,Kraken,0.46,10:00:01.000
ETH,Coinbase,Binance,0.4,10:00:01.000
SOL,Kraken,Coinbase,1.07,10:00:01.000
XRP,Bybit,Binance,-0.02,10:00:01.000
BTC,Binance,Kraken,0.66,10:00:01.500
ETH,Coinbase,Binance,0.21,10:00:01.500
SOL,Kraken,Coinbase,0.9,10:00:01.500
XRP,Bybit,Binance,-0.01,10:00:01.500
BTC,Binance,Kraken,0.32,10:00:02.000
ETH,Coinbase,Binance,0.06,10:00:02.000
SOL,Kraken,Coinbase,0.87,10:00:02.000
XRP,Bybit,Binance,0.02,10:00:02.000
BTC,Binance,Kraken,0.07,10:00:02.500
ETH,Coinbase,Binance,0.04,10:00:02.500
SOL,Kraken,Coinbase,0.83,10:00:02.500
XRP,Bybit,Binance,0.04,10:00:02.500
BTC,Binance,Kraken,0.04,10:00:03.000
ETH,Coinbase,Binance,0.34,10:00:03.000
SOL,Kraken,Coinbase,0.93,10:00:03.000
XRP,Bybit,Binance,0.05,10:00:03.000
BTC,Binance,Kraken,0.32,10:00:03.500
ETH,Coinbase,Binance,0.27,10:00:03.500
SOL,Kraken,Coinbase,0.82,10:00:03.500
XRP,Bybit,Binance,0.01,10:00:03.500
BTC,Binance,Kraken,0.06,10:00:04.000
ETH,Coinbase,Binance,0.22,10:00:04.000
SOL,Kraken,Coinbase,0.87,10:00:04.000
XRP,Bybit,Binance,0.05,10:00:04.000
BTC,Binance,Kraken,0.23,10:00:04.500
ETH,Coinbase,Binance,-0.23,10:00:04.500
SOL,Kraken,Coinbase,0.81,10:00:04.500
XRP,Bybit,Binance,0.02,10:00:04.500
BTC,Binance,Kraken,0.1,10:00:05.000
ETH,Coinbase,Binance,-0.24,10:00:05.000
SOL,Kraken,Coinbase,1.1,10:00:05.000
XRP,Bybit,Binance,0.01,10:00:05.000
BTC,Binance,Kraken,0.25,10:00:05.500
ETH,Coinbase,Binance,0.37,10:00:05.500
SOL,Kraken,Coinbase,1.23,10:00:05.500
XRP,Bybit,Binance,-0.02,10:00:05.500
BTC,Binance,Kraken,0.55,10:00:06.000
ETH,Coinbase,Binance,0.12,10:00:06.000
SOL,Kraken,Coinbase,1.09,10:00:06.000
XRP,Bybit,Binance,0.02,10:00:06.000
BTC,Binance,Kraken,-0.17,10:00:06.500
ETH,Coinbase,Binance,0.31,10:00:06.500
SOL,Kraken,Coinbase,0.96,10:00:06.500
XRP,Bybit,Binance,-0.0,10:00:06.500
BTC,Binance,Kraken,0.34,10:00:07.000
ETH,Coinbase,Binance,-0.19,10:00:07.000
SOL,Kraken,Coinbase,1.29,10:00:07.000
XRP,Bybit,Binance,0.05,10:00:07.000
BTC,Binance,Kraken,-0.12,10:00:07.500
ETH,Coinbase,Binance,0.31,10:00:07.500
SOL,Kraken,Coinbase,1.26,10:00:07.500
XRP,Bybit,Binance,0.06,10:00:07.500
BTC,Binance,Kraken,0.64,10:00:08.000
ETH,Coinbase,Binance,-0.2,10:00:08.000
SOL,Kraken,Coinbase,0.85,10:00:08.000
XRP,Bybit,Binance,0.06,10:00:08.000
BTC,Binance,Kraken,-0.1,10:00:08.500
ETH,Coinbase,Binance,0.11,10:00:08.500
SOL,Kraken,Coinbase,1.11,10:00:08.500
XRP,Bybit,Binance,0.03,10:00:08.500
BTC,Binance,Kraken,0.48,10:00:09.000
ETH,Coinbase,Binance,-0.06,10:00:09.000
SOL,Kraken,Coinbase,1.15,10:00:09.000
XRP,Bybit,Binance,0.07,10:00:09.000
BTC,Binance,Kraken,-0.1,10:00:09.500
ETH,Coinbase,Binance,0.25,10:00:09.500
SOL,Kraken,Coinbase,0.97,10:00:09.500
XRP,Bybit,Binance,0.05,10:00:09.500
BTC,Binance,Kraken,-0.02,10:00:10.000
ETH,Coinbase,Binance,0.26,10:00:10.000
SOL,Kraken,Coinbase,1.1,10:00:10.000
XRP,Bybit,Binance,0.02,10:00:10.000
BTC,Binance,Kraken,-0.19,10:00:10.500
ETH,Coinbase,Binance,-0.17,10:00:10.500
SOL,Kraken,Coinbase,1.26,10:00:10.500
XRP,Bybit,Binance,0.01,10:00:10.500
BTC,Binance,Kraken,-0.07,10:00:11.000
ETH,Coinbase,Binance,0.34,10:00:11.000
SOL,Kraken,Coinbase,1.22,10:00:11.000
XRP,Bybit,Binance,0.05,10:00:11.000
BTC,Binance,Kraken,-0.08,10:00:11.500
ETH,Coinbase,Binance,0.07,10:00:11.500
SOL,Kraken,Coinbase,1.27,10:00:11.500
XRP,Bybit,Binance,0.02,10:00:11.500
BTC,Binance,Kraken,0.52,10:00:12.000
ETH,Coinbase,Binance,0.34,10:00:12.000
SOL,Kraken,Coinbase,1.12,10:00:12.000
XRP,Bybit,Binance,0.05,10:00:12.000
BTC,Binance,Kraken,0.46,10:00:12.500
ETH,Coinbase,Binance,0.15,10:00:12.500
SOL,Kraken,Coinbase,1.05,10:00:12.500
XRP,Bybit,Binance,-0.01,10:00:12.500
BTC,Binance,Kraken,0.27,10:00:13.000
ETH,Coinbase,Binance,-0.29,10:00:13.000
SOL,Kraken,Coinbase,1.27,10:00:13.000
XRP,Bybit,Binance,0.05,10:00:13.000
BTC,Binance,Kraken,0.23,10:00:13.500
ETH,Coinbase,Binance,0.24,10:00:13.500
SOL,Kraken,Coinbase,0.92,10:00:13.500
XRP,Bybit,Binance,0.05,10:00:13.500
BTC,Binance,Kraken,-0.17,10:00:14.000
ETH,Coinbase,Binance,0.31,10:00:14.000
SOL,Kraken,Coinbase,1.04,10:00:14.000
XRP,Bybit,Binance,-0.01,10:00:14.000
BTC,Binance,Kraken,0.39,10:00:14.500
ETH,Coinbase,Binance,-0.2,10:00:14.500
SOL,Kraken,Coinbase,1.06,10:00:14.500
XRP,Bybit,Binance,-0.02,10:00:14.500
BTC,Binance,Kraken,0.07,10:00:15.000
ETH,Coinbase,Binance,0.26,10:00:15.000
SOL,Kraken,Coinbase,1.06,10:00:15.000
XRP,Bybit,Binance,0.05,10:00:15.000
BTC,Binance,Kraken,0.36,10:00:15.500
ETH,Coinbase,Binance,0.1,10:00:15.500
SOL,Kraken,Coinbase,1.28,10:00:15.500
XRP,Bybit,Binance,0.05,10:00:15.500
BTC,Binance,Kraken,0.27,10:00:16.000
ETH,Coinbase,Binance,0.2,10:00:16.000
SOL,Kraken,Coinbase,1.21,10:00:16.000
XRP,Bybit,Binance,0.0,10:00:16.000
BTC,Binance,Kraken,0.32,10:00:16.500
ETH,Coinbase,Binance,0.38,10:00:16.500
SOL,Kraken,Coinbase,0.81,10:00:16.500
XRP,Bybit,Binance,-0.0,10:00:16.500
BTC,Binance,Kraken,0.6,10:00:17.000
ETH,Coinbase,Binance,0.24,10:00:17.000
SOL,Kraken,Coinbase,0.85,10:00:17.000
XRP,Bybit,Binance,0.02,10:00:17.000
BTC,Binance,Kraken,0.12,10:00:17.500
ETH,Coinbase,Binance,0.08,10:00:17.500
SOL,Kraken,Coinbase,0.83,10:00:17.500
XRP,Bybit,Binance,0.0,10:00:17.500
BTC,Binance,Kraken,-0.09,10:00:18.000
ETH,Coinbase,Binance,0.22,10:00:18.000
SOL,Kraken,Coinbase,1.08,10:00:18.000
XRP,Bybit,Binance,-0.01,10:00:18.000
BTC,Binance,Kraken,0.67,10:00:18.500
ETH,Coinbase,Binance,0.22,10:00:18.500
SOL,Kraken,Coinbase,1.23,10:00:18.500
XRP,Bybit,Binance,-0.01,10:00:18.500
BTC,Binance,Kraken,0.18,10:00:19.000
ETH,Coinbase,Binance,0.27,10:00:19.000
SOL,Kraken,Coinbase,0.9,10:00:19.000
XRP,Bybit,Binance,0.05,10:00:19.000
BTC,Binance,Kraken,0.62,10:00:19.500
ETH,Coinbase,Binance,0.1,10:00:19.500
SOL,Kraken,Coinbase,1.19,10:00:19.500
XRP,Bybit,Binance,0.03,10:00:19.500
BTC,Binance,Kraken,0.66,10:00:20.000
ETH,Coinbase,Binance,0.36,10:00:20.000
SOL,Kraken,Coinbase,0.99,10:00:20.000
XRP,Bybit,Binance,-0.01,10:00:20.000
BTC,Binance,Kraken,-0.14,10:00:20.500
ETH,Coinbase,Binance,0.13,10:00:20.500
SOL,Kraken,Coinbase,0.93,10:00:20.500
XRP,Bybit,Binance,0.04,10:00:20.500
BTC,Binance,Kraken,0.53,10:00:21.000
ETH,Coinbase,Binance,0.01,10:00:21.000
SOL,Kraken,Coinbase,1.25,10:00:21.000
XRP,Bybit,Binance,-0.02,10:00:21.000
BTC,Binance,Kraken,0.17,10:00:21.500
ETH,Coinbase,Binance,0.39,10:00:21.500
SOL,Kraken,Coinbase,1.14,10:00:21.500
XRP,Bybit,Binance,-0.02,10:00:21.500
