Coin ID,okx,kucoin,htx
0,,0.5,0.8
1,,4e-06,4e-06
2,,0.00024,0.00012
3,,0.000953,0.00025201
4,,0.3,0.25
5,,,
6,,0.008,
7,,0.14,0.1
8,,3.35,5.0
9,,,
10,,0.0069,0.001
11,,0.32,0.22345565
12,,,
13,,0.8,1.89217
14,,0.13,
15,,,
16,,,0.001
17,,0.21,0.001
18,,0.04,0.01
19,,3.09,0.01
20,,,
21,,0.025,0.01747111
22,,1.04,
23,,35.0,63.266893
24,,30.0,20.0
25,,,1.0
26,,0.86,0.1
27,,,
28,,,
29,,,
30,,17.5,16.982564
31,,18.0,19.006109
32,,3.57,1.0
33,,,
34,,1.5,0.01
35,,0.11,0.0003
36,,,
37,,3.5,4.7740268
38,,,
39,,,
40,,,
41,,10.0,7.4951513
42,,0.05,
43,,110.0,
44,,0.38,
45,,39.0,24.118838
46,,,
47,,,0.01
48,,,
49,,,
50,,1.85,0.002
51,,,
52,,0.03,0.05
53,,0.54,0.01
54,,,
55,,,369.92894
56,,0.1067,0.11055172
57,,0.004,
58,,3.4,10.74276
59,,0.0012,0.00083849
60,,,
61,,,
62,,625.0,761.97293
63,,,
64,,49.54,1.0
65,,158.15,
66,,,
67,,330.0,397.44047
68,,20.0,68.902966
69,,210.0,211.11391
70,,25.0,95.090089
71,,550.0,
72,,13.68,19.643945
73,,290.0,1144.6451
74,,45.0,78.716231
75,,0.83,0.01
76,,94.0,101.38713
77,,0.08,0.47065094
78,,3.5,3.9774824
79,,5.0,0.01
80,,50.0,5.0
81,,,
82,,,
83,,7.0,18.892506
84,,,
85,,0.5,
86,,50.0,
87,,110.0,
88,,,
89,,,
90,,,1.0
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,4.8,4.6512216
98,,111.744,210.7963
99,,5770.0,
100,,40.0,66.405738
101,,,
102,,,
