Coin ID,okx,kucoin,htx
0,,TON,BEP20
1,,BEP20,BEP20
2,,BEP20,BEP20
3,,BEP20,BEP20
4,,XRP,XRP
5,,,
6,,SOL,
7,,DOT,DOT
8,,DOGE,DOGE
9,,,
10,,LTC,LTC
11,,ERC20,ERC20
12,,,
13,,ERC20,ERC20
14,,ATOM,
15,,,
16,,,BCH
17,,FIL,FIL
18,,ETC,ETC
19,,ALGO,ALGO
20,,,
21,,ERC20,ERC20
22,,EOS,
23,,ERC20,ERC20
24,,VET,VET
25,,,TRX
26,,XTZ,XTZ
27,,,
28,,,
29,,,
30,,ERC20,ERC20
31,,ERC20,ERC20
32,,HBAR,HBAR
33,,,
34,,FLOW,FLOW
35,,ICP,ICP
36,,,
37,,ERC20,ERC20
38,,,
39,,,
40,,,
41,,ERC20,ERC20
42,,ERC20,
43,,ERC20,
44,,SOL,
45,,ERC20,ERC20
46,,,
47,,,ENJ
48,,,
49,,,
50,,CELO,CELO
51,,,
52,,DASH,DASH
53,,WAVES,WAVES
54,,,
55,,,ERC20
56,,ERC20,ERC20
57,,ERC20,
58,,ERC20,ERC20
59,,ERC20,ERC20
60,,,
61,,,
62,,ERC20,ERC20
63,,,
64,,ZIL,ZIL
65,,IOST,
66,,,
67,,ERC20,ERC20
68,,ERC20,ERC20
69,,ERC20,ERC20
70,,ERC20,ERC20
71,,ERC20,
72,,ERC20,ERC20
73,,ERC20,ERC20
74,,ERC20,ERC20
75,,BAND,BAND
76,,ERC20,ERC20
77,,ERC20,ERC20
78,,ERC20,ERC20
79,,KAVA,KAVA
80,,TRC20,TRC20
81,,,
82,,,
83,,ERC20,ERC20
84,,,
85,,ERC20,
86,,ERC20,
87,,ERC20,
88,,,
89,,,
90,,,SYS
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,ERC20,ERC20
98,,ERC20,ERC20
99,,ERC20,
100,,ERC20,ERC20
101,,,
102,,,
