Coin ID,okx,kucoin,bitget
0,,0.5,0.0
1,,4e-06,1.35e-06
2,,0.0002,3.806e-05
3,,0.000953,0.0002
4,,0.3,0.2
5,,1.8,
6,,,
7,,0.14,0.08
8,,3.35,4.0
9,,0.03,
10,,0.0069,0.001
11,,0.32,0.16739204
12,,,
13,,0.8,0.48192772
14,,,
15,,2.21,
16,,,0.0001
17,,0.21,0.0008
18,,0.04,0.008
19,,3.09,0.008
20,,0.002,
21,,0.025,0.01321819
22,,,
23,,35.0,47.22921915
24,,30.0,3.0
25,,,0.8
26,,0.86,0.135962
27,,0.72,
28,,0.23,
29,,,
30,,17.5,12.80956448
31,,18.0,14.18439717
32,,3.57,0.8
33,,0.04,
34,,1.5,0.01
35,,0.11,0.00024
36,,,
37,,3.5,3.59410567
38,,,
39,,54.17,
40,,0.1,
41,,10.0,5.73723466
42,,,
43,,,
44,,,
45,,39.0,18.24817519
46,,0.02,
47,,,0.08
48,,,
49,,2.0,
50,,1.85,0.0012
51,,,
52,,0.03,0.002
53,,0.54,0.004
54,,0.0,
55,,,279.32960894
56,,0.1067,0.08344924
57,,,
58,,3.4,2.66500844
59,,0.0012,0.0006356
60,,0.48,
61,,,
62,,625.0,577.03404501
63,,,
64,,49.54,0.8
65,,,
66,,,
67,,330.0,296.73590505
68,,20.0,17.22158439
69,,210.0,160.59957174
70,,25.0,3.0
71,,,
72,,13.68,15.51189246
73,,290.0,3.0
74,,45.0,59.76095618
75,,0.83,0.01
76,,94.0,76.8442623
77,,0.08,0.11895322
78,,3.5,3.01356103
79,,5.0,0.03
80,,50.0,10.0
81,,,
82,,,
83,,7.0,14.28571429
84,,,
85,,,
86,,,
87,,10.0,
88,,,
89,,55.54,
90,,,0.5
91,,,
92,,,
93,,,
94,,,
95,,,
96,,0.6,
97,,4.8,3.50877193
98,,111.744,162.16216217
99,,,
100,,40.0,50.16722409
101,,,
102,,,
