Coin ID,okx,htx,bitget
0,,0.001,0.0
1,,4e-06,1.35e-06
2,,0.00012,3.806e-05
3,,0.00025201,0.0002
4,,0.25,0.2
5,,1.0,
6,,,0.006
7,,0.1,0.08
8,,5.0,4.0
9,,0.06,
10,,0.001,0.001
11,,0.22345565,0.16739204
12,,,
13,,1.89217,0.48192772
14,,,0.01
15,,0.02,
16,,,
17,,0.001,0.0008
18,,0.01,0.008
19,,0.01,0.008
20,,0.002,
21,,0.01747111,0.01321819
22,,,0.1
23,,63.266893,47.22921915
24,,20.0,3.0
25,,,
26,,0.1,0.135962
27,,0.12,
28,,0.01,
29,,,
30,,16.982564,12.80956448
31,,19.006109,14.18439717
32,,1.0,0.8
33,,0.002,
34,,0.01,0.01
35,,0.0003,0.00024
36,,,
37,,4.7740268,3.59410567
38,,,
39,,0.3,
40,,0.025,
41,,7.4951513,5.73723466
42,,,0.03768845
43,,,93.86733417
44,,,0.42662117
45,,24.118838,18.24817519
46,,0.001,
47,,,
48,,,
49,,0.3,
50,,0.002,0.0012
51,,,
52,,0.05,0.002
53,,0.01,0.004
54,,0.0,
55,,,
56,,0.11055172,0.08344924
57,,,0.00194679
58,,10.74276,2.66500844
59,,0.00083849,0.0006356
60,,1.0,
61,,,
62,,761.97293,577.03404501
63,,,
64,,1.0,0.8
65,,,0.8
66,,,
67,,397.44047,296.73590505
68,,68.902966,17.22158439
69,,211.11391,160.59957174
70,,95.090089,3.0
71,,,532.85968029
72,,19.643945,15.51189246
73,,1144.6451,3.0
74,,78.716231,59.76095618
75,,0.01,0.01
76,,101.38713,76.8442623
77,,0.47065094,0.11895322
78,,3.9774824,3.01356103
79,,0.01,0.03
80,,5.0,10.0
81,,,
82,,,
83,,18.892506,14.28571429
84,,,
85,,,2.64690313
86,,,15.6739812
87,,20.0,90.74410164
88,,,
89,,0.2,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,0.47339637,
97,,4.6512216,3.50877193
98,,210.7963,162.16216217
99,,,6756.75675676
100,,66.405738,50.16722409
101,,,
102,,,
