Coin ID,Coin Name,stacks,AVAXC-Chain,WAVES,Starknet,AVAXX-Chain,CAP20,ALGO,SyscoinNEVM,DOGE,Elrond,BCH,FILEVM,TRX,FIL,KAVA,NEARProtocol,StellarLumens,TRC20,BTC,XTZ,Fantom,CELO,BASE,Arweave,HBAR,Harmony,PolkadotAssetHub,ArbitrumOne,ERC20,Ontology,ICP,SCROLL,DASH,ATOM,FLOW,ZIL,Optimism,EOS,IOST,VET,zkSyncEra,StratisEVM,NEO3,SOL,MetalDAOL2,ETH,DOT,THORChain,LTC,AssetHubKusama,ENJ,Cardano,Morph,BAND,Solar,LIGHTNING,ROLLUXL2,BEP20,ThetaToken,SYS,XRP,ETC
0,BTC,,,,,,,,,,,,,,,,,,,4e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-05,,1.31e-06,,,,
1,ETH,,,,0.0001,,,,,,,,,,,,,,,,,,,4e-05,,,,,4e-05,,,,0.0001,,,,,3e-05,,,,4e-05,,,,,0.00031653,,,,,,,2.435e-05,,,,,3.653e-05,,,,
2,BNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,,,,
3,XRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,
4,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,
5,SOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,
6,DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,
7,DOGE,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AVAX,,0.0064,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,
10,LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16246074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45801527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ATOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,XLM,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BCH,,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,FIL,,,,,,,,,,,,0.0008,,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ETC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00916311,,,,0.008
18,ALGO,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,XMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0127801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
