Coin ID,Coin Name
0,BTC
1,ETH
2,BNB
3,XRP
4,ADA
5,SOL
6,DOT
7,DOGE
8,AVAX
9,LTC
10,LINK
11,MATIC
12,UNI
13,ATOM
14,XLM
15,BCH
16,FIL
17,ETC
18,ALGO
19,XMR
20,AAVE
21,EOS
22,GRT
23,VET
24,TRX
25,XTZ
26,THETA
27,NEAR
28,FTM
29,MANA
30,SAND
31,HBAR
32,EGLD
33,FLOW
34,ICP
35,XEC
36,FTT
37,KLAY
38,ONE
39,AR
40,CRV
41,QNT
42,CHZ
43,HNT
44,BAT
45,ZEC
46,ENJ
47,STX
48,IOTA
49,CELO
50,KSM
51,DASH
52,WAVES
53,NEO
54,GALA
55,COMP
56,MKR
57,SNX
58,YFI
59,RUNE
60,OCEAN
61,RSR
62,ONT
63,ZIL
64,IOST
65,SC
66,ANKR
67,STORJ
68,SKL
69,OMG
70,CELR
71,PERP
72,REN
73,CTSI
74,BAND
75,OXT
76,TRB
77,BAL
78,KAVA
79,JST
80,SXP
81,WRX
82,LSK
83,ARDR
84,REP
85,POLY
86,COTI
87,STRAX
88,DGB
89,SYS
90,BEAM
91,VITE
92,MTL
93,ONG
94,PNT
95,MLN
96,RLC
97,NKN
98,DENT
99,CVC
100,DATA
