Coin ID,Coin Name,RUNE,DGB,SOLAR,OPTIMISM,DOGE,ECASH,IOTA,XLM,SYS,AVAX,SOLANA,METAL,BTC,DOT,SC,KAVA,CELO,AVAXCCHAIN,PLASMA,NEON3,IOSTNEW,BEP20,BTT,ALGO,BASE,BCH,ETH,ETC,TON,CHZ,ICP,VET,ZIL,XMR,WAVES,TRC20,ADA,BAND,FIL,EGLD,COTI,LTC,ZEC,KSM,XRP,DASH,ARDR,AR,NEAR,TRX,ONE,ERC20,FLOW,ENJ,THETA,HBAR,XTZ,ATOM1,POLYGON,ARBITRUM,ONTOLOGY
0,USDT,,,,1.0,,,,,,,1.9624,,,,,,0.03,0.21,0.001,,,0.8,,,,,,,0.8,,,,,,,2.0,,,,,,,,,,,,,0.3,,,4.018646,,,,,,,0.01,1.0,
1,BTC,,,,,,,,,,,1.731e-05,,0.00016,,,,,,,,,4e-06,,,,,,,,,,,,,,1e-05,,,,,,,,,,,,,,,,0.0001,,,,,,,,,
2,ETH,,,,0.001,,,,,,,,,,,,,,,,,,0.00012,3.6e-05,,0.001,,0.0012,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,0.00102,
3,BNB,,,,,,,,,,,,,,,,,,,,,,0.00025201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,XRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,
5,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6,SOL,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DOT,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3058751,,,,,,,,,
8,DOGE,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AVAX,,,,,,,,,,0.06,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,0.12320991,,,,,,,,,
11,LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22345565,,,,,,,,,
