Coin ID,Coin Name,RUNE,AVAX C-Chain,DGB,Kaia,DOGE,XTZ EVM,Polygon POS,OPTIMISM,IOTA,APT,XLM,AVAX,BCHN,Base,SXP,DOT,KAVA,BTC,KCC,CELO,NEON3,STRAX,PLASMA,IOST,BEP20,Lightning Network,BTC-Segwit,EOS,ATOM,ALGO,ETC,ICP,TON,VET,ZIL,Metal L2,XEC,ONT,XMR,WAVES,TRC20,ADA,STX,FIL,EGLD,BAND,FTM,COTI,LTC,ZEC,Asset Hub(Polkadot),XRP,DASH,SYSNEVM,AR,NEAR,Enjin,ONE,FLOW,ERC20,SOL,ZPT,Asset Hub Kusama,THETA,HBAR,XTZ,ARBITRUM,KAVA EVM Co-Chain,BEP2
0,USDT,,1.0,,,,,0.8,1.0,,0.5,,,,,,,,,0.5,,,,1.2,,1.0,,,,,,,,0.5,,,,,,,,1.5,,,,,,,,,,1.0,,,,,0.5,,,,5.5,1.5,,,,,1.0,1.0,1.0,
1,BTC,,,,,,,,,,,,,,,,,,9e-05,2e-05,,,,,,4e-06,2e-05,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,
2,ETH,,,,,,,,0.0002,,,,,,5e-05,,,,,0.0003,,,,,,0.00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015,,,,,,,0.0002,,
3,BNB,,,,,,,,,,,,,,,,,,,,,,,,,0.000953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
4,XRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,
5,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,
7,DOT,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DOGE,,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AVAX,,0.03,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0069,,,,,,,,,,,,,,,,,,,,
11,LINK,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,
12,MATIC,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,
13,UNI,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,
14,ATOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,XLM,,,,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BCH,,,,,,,,,,,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
18,ETC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ALGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,XMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
