Coin ID,Coin Name,FIL-FEVM,RSR-ERC20,ETH-ERC20,CELO-CELO,YFI-ERC20,CHZ-Chiliz Chain,GRT-ERC20,LTC-Litecoin,AVAX-Avalanche X-Chain,ICP-Dfinity,IOTA-IOTA Stardust,HBAR-Hedera,ETH-Linea,ETH-Base,FIL-Filecoin,LTCK-OKTC,TRXK-OKTC,LSK-Lisk,SOL-Solana,TRB-ERC20,DOGE-Dogecoin,ETCK-OKTC,ETC-Ethereum Classic,BAND-ERC20,TRX-TRC20,ONE-Harmony,CELR-ERC20,IOST-IOST,ADA-Cardano,KSM-AssetHub Kusama,BNB-BSC,LINKK-OKTC,STORJ-ERC20,DOT-Polkadot,BTCK-OKTC,AR-Arweave,THETA-Theta,ETH-X Layer,CHZ-ERC20,CRV-Polygon,XTZ-Tezos,AVAX-Avalanche C-Chain,EGLD-Elrond,ONT-Ontology,XLM-Stellar Lumens,XRPK-OKTC,DOTK-OKTC,BTC-Solana,BTC-Lightning,ENJ-Enjin Relay Chain,BAT-ERC20,CVC-ERC20,ETH-Unichain,NEO-N3,ZIL-Zilliqa,ETH-Optimism,PERP-ERC20,BTC-SUI,FTM-Fantom,SAND-ERC20,BTC-X Layer,CRV-ERC20,FLOW-FLOW,STX-l-Stacks,SNX-ERC20,COMP-ERC20,MANA-ERC20,FILK-OKTC,BCH-BitcoinCash,LINK-ERC20,CELO-CELO-TOKEN,ETH-zkSync Era,BTC-Bitcoin,UNI-ERC20,BTC-Aptos,ETH-Starknet,ATOM-Cosmos,ETH-Arbitrum One,BAL-ERC20,NEAR-NEAR,GALA-ERC20,UNIK-OKTC,ALGO-Algorand,BCHK-OKTC,SKL-ERC20,XRP-Ripple,DGB-Digibyte,ETHK-OKTC,AAVE-ERC20
0,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1e-05,1e-06,,,,,,,,,1e-06,,,1e-06,,,,,,,,,,,,1e-05,,1e-07,,,,,,,,,,,,,,
1,ETH,,,0.00014,,,,,,,,,,3e-05,4e-05,,,,,,,,,,,,,,,,,,,,,,,,3e-05,,,,,,,,,,,,,,,4e-05,,,4e-05,,,,,,,,,,,,,,,,4.1e-05,,,,9.5e-05,,4e-05,,,,,,,,,,0.0,
2,BNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,XRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,
4,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SOL,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DOGE,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AVAX,,,,,,,,,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LTC,,,,,,,,0.001,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,,
11,MATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088,,,,,,,,0.0,,,,,,,
13,ATOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,,,,,
14,XLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008,,,,,,,,,,,,,,,0.0,,,,,
16,FIL,0.0,,,,,,,,,,,,,,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
17,ETC,,,,,,,,,,,,,,,,,,,,,,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ALGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,
19,XMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025
21,EOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,GRT,,,,,,,8.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,TRX,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,XTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,THETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,NEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,
