Coin ID,Coin Name,Address,Network,binance→bitget,binance→htx,binance→kucoin,binance→okx,bitget→binance,bitget→htx,bitget→kucoin,bitget→okx,htx→binance,htx→bitget,htx→kucoin,htx→okx,kucoin→binance,kucoin→bitget,kucoin→htx,kucoin→okx,okx→binance,okx→bitget,okx→htx,okx→kucoin
0,SCR,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR-Scroll,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.5,0.2,0.2,0.26,0.5,0.2,0.2,0.26,0.5,0.5,0.5,0.5,0.5
2,WLD,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,WLD-Optimism,0.045,—,0.045,0.022,0.045,—,0.11933175,0.022,—,—,—,—,0.045,0.11933175,—,0.022,0.022,0.022,—,0.022
5,BCH,BCH_BCH,BCH,0.0002,—,—,—,0.0002,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
6,AI,0xbda011d7f8ec00f66c1923b049b94c67d148d8b2,BSC,0.14,—,—,—,0.14,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
7,JST,TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,TRX,50.0,50.0,50.0,—,50.0,10.0,10.0,—,50.0,10.0,5.0,—,50.0,10.0,5.0,—,—,—,—,—
9,SEI,SEI_SEIEVM,SEIEVM,0.04,—,—,—,0.04,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
10,BB,BB_BB,BB,0.05,—,—,—,0.05,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
11,A,core.vaulta,A-Vaulta,0.08,0.08,—,0.08,0.08,0.08,—,0.08,0.08,0.08,—,0.08,—,—,—,—,0.08,0.08,0.08,—
12,C,0xba12bc7b210e61e5d3110b997a63ea216e0e18f7,BASE,1.9,—,1.9,—,1.9,—,8.98311175,—,—,—,—,—,1.9,8.98311175,—,—,—,—,—,—
13,JTO,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO-Solana,0.36,0.36,0.36,1.25362068,0.36,0.96618358,0.96618358,1.25362068,0.36,0.96618358,1.8439,1.25362068,0.36,0.96618358,1.8439,1.25362068,1.25362068,1.25362068,1.25362068,1.25362068
14,D,0x8fb238058e71f828f505582e65b1d14f8cf52067,BSC,0.52,—,0.52,—,0.52,—,7.22891567,—,—,—,—,—,0.52,7.22891567,—,—,—,—,—,—
15,FLM,0xf0151f528127558851b39c2cd8aa47da7418ab28,FLM-N3,2.9,—,—,1.0,2.9,—,—,1.0,—,—,—,—,—,—,—,—,1.0,1.0,—,—
16,F,0x2c24497d4086490e7ead87cc12597fb50c2e6ed6,BASE,25.0,—,25.0,—,25.0,—,65.54368487,—,—,—,—,—,25.0,65.54368487,—,—,—,—,—,—
17,G,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,BSC,—,—,1.48,—,—,—,—,—,—,—,—,—,1.48,—,—,—,—,—,—,—
18,S,S_SONIC,SONIC,0.004,—,—,—,0.004,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
19,W,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W-Solana,8.05,8.05,8.05,18.11710963,8.05,14.958864,14.958864,18.11710963,8.05,14.958864,27.8465,18.11710963,8.05,14.958864,27.8465,18.11710963,18.11710963,18.11710963,18.11710963,18.11710963
20,SFP,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,BSC,0.094,—,0.094,—,0.094,—,0.43165468,—,—,—,—,—,0.094,0.43165468,—,—,—,—,—,—
23,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP-Solana,1.31,1.31,1.31,3.97684594,1.31,2.41838,2.41838,3.97684594,1.31,2.41838,4.6058,3.97684594,1.31,2.41838,4.6058,3.97684594,3.97684594,3.97684594,3.97684594,3.97684594
24,BEL,0x8443f091997f06a61670b735ed92734f5628692f,BSC,0.16,—,—,—,0.16,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
25,JUV,0x454038003a93cf44766af352f74bad6b745616d0,CHZ2,0.0,—,—,—,0.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
26,WOO,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO-ERC20,0.23,0.23,0.23,15.02,0.23,3.86199795,3.86199795,15.02,0.23,3.86199795,98.897494,15.02,0.23,3.86199795,98.897494,15.02,15.02,15.02,15.02,15.02
27,BABYDOGE,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE-BSC,13.0,13.0,13.0,0.0,13.0,151362260.3430878,151362260.3430878,0.0,13.0,151362260.3430878,3193478500.0,0.0,13.0,151362260.3430878,3193478500.0,0.0,0.0,0.0,0.0,0.0
30,FLOKI,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,FLOKI-BSC,169.0,—,169.0,10000.0,169.0,—,2136.44779946,10000.0,—,—,56103.822,—,169.0,2136.44779946,56103.822,10000.0,10000.0,10000.0,—,10000.0
32,AVNT,0x696f9436b67233384889472cd7cd58a6fb5df4f1,AVNT-Base,1.0,—,1.0,1.0,1.0,—,1.53791736,1.0,—,—,—,—,1.0,1.53791736,—,1.0,1.0,1.0,—,1.0
34,TUSD,0x40af3827f39d0eacbf4a168f8d4ee67c121d11c9,BSC,0.017,0.8,0.8,—,0.017,4.0,0.0,—,0.8,4.0,1.0,—,0.8,0.0,1.0,—,—,—,—,—
35,COOKIE,0xc0041ef357b183448b235a8ea73ce4e4ec8c265f,BSC,0.13,—,0.13,—,0.13,—,1.78104964,—,—,—,—,—,0.13,1.78104964,—,—,—,—,—,—
36,MUBARAK,0x5c85d6c6825ab4032337f11ee92a72df936b46f6,BSC,0.53,—,0.53,—,0.53,—,7.09891151,—,—,—,—,—,0.53,7.09891151,—,—,—,—,—,—
39,BIO,bioJ9JTqW62MLz7UKHU69gtKhPpGi1BQhccj2kmSvUJ,SOL,3.65,—,—,—,3.65,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
41,FLOW,FLOW_FLOW,FLOW,0.0001,—,—,—,0.0001,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
42,SLP,0xa8754b9fa15fc18bb59458815510e40a12cd2014,RON,2.0,—,—,—,2.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
43,TURTLE,0x66fd8de541c0594b4dccdfc13bf3a390e50d3afd,BSC,—,—,0.25,—,—,—,—,—,—,—,—,—,0.25,—,—,—,—,—,—,—
44,NXPC,0x5e0e90e268bc247cc850c789a0db0d5c7621fb59,AVAXC,0.21,—,0.022,—,0.21,—,0.44,—,—,—,—,—,0.022,0.44,—,—,—,—,—,—
45,ID,0x2dff88a56767223a5529ea5960da7a3f5f766406,BSC,0.11,—,0.11,—,0.11,—,1.40449439,—,—,—,—,—,0.11,1.40449439,—,—,—,—,—,—
46,IO,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,SOL,1.03,1.03,1.03,—,1.03,3.08641976,3.08641976,—,1.03,3.08641976,5.8498,—,1.03,3.08641976,5.8498,—,—,—,—,—
48,DOT,DOT_DOT,DOT,0.08,—,—,—,0.08,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
49,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,1INCH-ERC20,—,0.19,0.19,3.47,—,—,—,—,0.19,—,23.077756,3.47,0.19,—,23.077756,3.47,3.47,—,3.47,3.47
51,MAV,0x7448c7456a97769f6cd04f1e83a4a23ccdc46abd,ARBITRUM,—,—,3.93,—,—,—,—,—,—,—,—,—,3.93,—,—,—,—,—,—,—
53,ATOM,ATOM_ATOM,ATOM,0.02,—,—,—,0.02,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
54,QUICK,0xb5c064f955d8e7f38fe0460c556a72987494ee17,MATIC,0.27,0.27,0.27,—,0.27,162.25,162.25,—,0.27,162.25,0.5313,—,0.27,162.25,0.5313,—,—,—,—,—
55,PENDLE,0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8,ARBITRUM,0.039,—,0.039,—,0.039,—,0.06209252,—,—,—,—,—,0.039,0.06209252,—,—,—,—,—,—
56,MBL,e5a49d7fd57e7178e189d3965d1ee64368a1036d,ONT,4.9,4.9,4.9,—,4.9,58.05516,58.05516,—,4.9,58.05516,13.0,—,4.9,58.05516,13.0,—,—,—,—,—
60,BMT,FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,SOL,18.0,18.0,0.24,—,18.0,24.54590084,24.54590084,—,18.0,24.54590084,47.525,—,0.24,24.54590084,47.525,—,—,—,—,—
