Coin ID,Target Exchange,Address,Coin Name,Network,Fee
0,okx,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCR-Scroll,0.5
0,bitget,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCROLL,0.2
0,kucoin,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCROLL,0.2
0,htx,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCROLL,0.2
2,okx,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,WLD,WLD-Optimism,0.022
2,bitget,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,WLD,OPTIMISM,0.045
2,kucoin,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,WLD,OPTIMISM,0.045
5,bitget,BCH_BCH,BCH,BCH,0.0002
6,bitget,0xbda011d7f8ec00f66c1923b049b94c67d148d8b2,AI,BSC,0.14
7,bitget,TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,TRX,50.0
7,kucoin,TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,TRX,50.0
7,htx,TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,TRX,50.0
9,bitget,SEI_SEIEVM,SEI,SEIEVM,0.04
10,bitget,BB_BB,BB,BB,0.05
11,okx,core.vaulta,A,A-Vaulta,0.08
11,bitget,core.vaulta,A,EOS,0.08
11,htx,core.vaulta,A,EOS,0.08
12,bitget,0xba12bc7b210e61e5d3110b997a63ea216e0e18f7,C,BASE,1.9
12,kucoin,0xba12bc7b210e61e5d3110b997a63ea216e0e18f7,C,BASE,1.9
13,okx,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,JTO-Solana,1.25362068
13,bitget,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,SOL,0.36
13,kucoin,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,SOL,0.36
13,htx,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,SOL,0.36
14,bitget,0x8fb238058e71f828f505582e65b1d14f8cf52067,D,BSC,0.52
14,kucoin,0x8fb238058e71f828f505582e65b1d14f8cf52067,D,BSC,0.52
15,okx,0xf0151f528127558851b39c2cd8aa47da7418ab28,FLM,FLM-N3,1.0
15,bitget,0xf0151f528127558851b39c2cd8aa47da7418ab28,FLM,NEO3,2.9
16,bitget,0x2c24497d4086490e7ead87cc12597fb50c2e6ed6,F,BASE,25.0
16,kucoin,0x2c24497d4086490e7ead87cc12597fb50c2e6ed6,F,BASE,25.0
17,kucoin,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,G,BSC,1.48
18,bitget,S_SONIC,S,SONIC,0.004
19,okx,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,W-Solana,18.11710963
19,bitget,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,SOL,8.05
19,kucoin,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,SOL,8.05
19,htx,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,SOL,8.05
20,bitget,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,SFP,BSC,0.094
20,kucoin,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,SFP,BSC,0.094
23,okx,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,JUP-Solana,3.97684594
23,bitget,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,SOL,1.31
23,kucoin,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,SOL,1.31
23,htx,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,SOL,1.31
24,bitget,0x8443f091997f06a61670b735ed92734f5628692f,BEL,BSC,0.16
25,bitget,0x454038003a93cf44766af352f74bad6b745616d0,JUV,CHZ2,0.0
26,okx,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,WOO-ERC20,15.02
26,bitget,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,BSC,0.23
26,kucoin,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,BSC,0.23
26,htx,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,BSC,0.23
27,okx,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE,BABYDOGE-BSC,0.0
27,bitget,0xc748673057861a797275cd8a068abb95a902e8de,1MBABYDOGE,BSC,13.0
27,kucoin,0xc748673057861a797275cd8a068abb95a902e8de,1MBABYDOGE,BSC,13.0
27,htx,0xc748673057861a797275cd8a068abb95a902e8de,1MBABYDOGE,BSC,13.0
30,okx,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,FLOKI,FLOKI-BSC,10000.0
30,bitget,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,FLOKI,BSC,169.0
30,kucoin,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,FLOKI,BSC,169.0
32,okx,0x696f9436b67233384889472cd7cd58a6fb5df4f1,AVNT,AVNT-Base,1.0
