Coin ID,Target Exchange,Address,Coin Name,Network,Fee
0,binance,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCROLL,0.2
0,okx,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCR-Scroll,0.5
0,bitget,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCROLL,0.2
0,kucoin,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,scr,0.26
7,binance,TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,TRX,50.0
7,bitget,TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,TRC20,10.0
7,kucoin,TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,jst,5.0
11,binance,core.vaulta,A,EOS,0.08
11,okx,core.vaulta,A,A-Vaulta,0.08
11,bitget,core.vaulta,A,Vaulta,0.08
13,binance,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,SOL,0.36
13,okx,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,JTO-Solana,1.25362068
13,bitget,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,SOL,0.96618358
13,kucoin,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,jto,1.8439
19,binance,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,SOL,8.05
19,okx,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,W-Solana,18.11710963
19,bitget,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,SOL,14.958864
19,kucoin,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,w,27.8465
23,binance,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,SOL,1.31
23,okx,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,JUP-Solana,3.97684594
23,bitget,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,SOL,2.41838
23,kucoin,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,jup,4.6058
26,binance,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,BSC,0.23
26,okx,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,WOO-ERC20,15.02
26,bitget,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,BEP20,3.86199795
26,kucoin,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,woo,98.897494
27,binance,0xc748673057861a797275cd8a068abb95a902e8de,1MBABYDOGE,BSC,13.0
27,okx,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE,BABYDOGE-BSC,0.0
27,bitget,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE,BEP20,151362260.3430878
27,kucoin,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE,babydoge,3193478500.0
30,kucoin,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI,floki,56103.822
34,binance,TUpMhErZL2fhh4sVNULAbNKLokS4GjC1F4,TUSD,TRX,0.8
34,bitget,TUpMhErZL2fhh4sVNULAbNKLokS4GjC1F4,TUSD,TRC20,4.0
34,kucoin,TUpMhErZL2fhh4sVNULAbNKLokS4GjC1F4,TUSD,trc20tusd,1.0
46,binance,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,IO,SOL,1.03
46,bitget,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,IO,SOL,3.08641976
46,kucoin,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,IO,ionet,5.8498
49,binance,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,BSC,0.19
49,okx,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1INCH-ERC20,3.47
49,kucoin,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1inch,23.077756
54,binance,0xb5c064f955d8e7f38fe0460c556a72987494ee17,QUICK,MATIC,0.27
54,bitget,0xb5c064f955d8e7f38fe0460c556a72987494ee17,QUICK,Polygon,162.25
54,kucoin,0xb5c064f955d8e7f38fe0460c556a72987494ee17,QUICK,quick,0.5313
56,binance,e5a49d7fd57e7178e189d3965d1ee64368a1036d,MBL,ONT,4.9
56,bitget,e5a49d7fd57e7178e189d3965d1ee64368a1036d,MBL,Ontology,58.05516
56,kucoin,e5a49d7fd57e7178e189d3965d1ee64368a1036d,MBL,mbl,13.0
60,binance,FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,BMT,SOL,18.0
60,bitget,FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,BMT,SOL,24.54590084
60,kucoin,FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,BMT,solbmt,47.525
71,binance,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,SOL,2.83
71,okx,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,LAYER-Solana,5.3202439
71,bitget,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,SOL,3.73552485
71,kucoin,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,layer,6.9687
73,binance,0x06864a6f921804860930db6ddbe2e16acdf8504495ea7481637a1c8b9a8fe54b::cetus::CETUS,CETUS,SUI,0.5
73,kucoin,0x06864a6f921804860930db6ddbe2e16acdf8504495ea7481637a1c8b9a8fe54b::cetus::CETUS,CETUS,cetus,0.3
77,binance,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,SOL,1.67
77,okx,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,ME-Solana,2.38523783
77,bitget,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,SOL,2.232642
77,kucoin,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,me,4.1061
81,binance,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,SOL,0.092
81,okx,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,TRUMP-Solana,0.074
81,bitget,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,SOL,0.118751
81,kucoin,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,trumpsol,0.2588
88,binance,0x4200000000000000000000000000000000000042,OP,OPTIMISM,0.088
88,okx,0x4200000000000000000000000000000000000042,OP,OP-Optimism,0.1
88,bitget,0x4200000000000000000000000000000000000042,OP,Optimism,0.1
88,kucoin,0x4200000000000000000000000000000000000042,OP,optop,1.5
97,binance,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,MBOX,BSC,0.29
97,bitget,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,MBOX,BEP20,3.15126051
101,binance,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,CAKE,BSC,0.013
101,bitget,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,CAKE,BEP20,0.05852517
101,kucoin,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,CAKE,cake,0.22913502
102,binance,TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,TRX,6.0
102,bitget,TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,TRC20,222.71714923
102,kucoin,TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,sun1,2.93
109,binance,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,SOL,0.32
109,okx,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,RENDER-Solana,0.90835513
109,bitget,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,SOL,0.42698549
109,kucoin,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,render,0.8035
118,okx,0xdA5e1988097297dCdc1f90D4dFE7909e847CBeF6,WLFI,WLFI-ERC20,20.0
133,kucoin,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,CTSI,ctsi,78.716231
137,kucoin,0xae12c5930881c53715b369cec7606b70d8eb229f,C98,c98,109.8032
142,binance,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,BOME,SOL,353.0
142,okx,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,BOME,BOME-Solana,1163.36002888
142,bitget,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,BOME,SOL,987.1668312
142,kucoin,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,BOME,bome,1864.2934
146,binance,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,SOL,53448.0
146,okx,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,BONK-Solana,108038.64181271
146,bitget,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,SOL,71123.75534
146,kucoin,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,bonk,135671.03
154,binance,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,ZK,ZKSYNCERA,0.1
154,bitget,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,ZK,zkSyncEra,32.0615582
154,kucoin,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,ZK,zk,1.2
158,binance,0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5,PROM,BSC,0.0018
158,bitget,0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5,PROM,BEP20,0.01466276
158,kucoin,0xfc82bb4ba86045af6f327323a46e80412b91b27d,PROM,erc20prom,0.40757219
166,binance,0xbcfc435d8f276585f6431fc1b9ee9a850b5c00a9,MTL,MTL,0.1
166,bitget,0xbcfc435d8f276585f6431fc1b9ee9a850b5c00a9,MTL,MetalDAOL2,2.15982722
166,kucoin,0xbcfc435d8f276585f6431fc1b9ee9a850b5c00a9,MTL,metalmtl,0.2
168,binance,0x48065fbbe25f71c9282ddf5e1cd6d6a887483d5e,USDT,CELO,0.03
168,okx,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,USDT,USDT-Plasma,0.0001
168,bitget,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,USDT,AVAXC-Chain,0.11
168,kucoin,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,USDT,cchainusdt,0.21
173,binance,0x8d0d000ee44948fc98c9b98a4fa4921476f08b0d,USD1,BSC,0.0
173,bitget,0x8d0d000ee44948fc98c9b98a4fa4921476f08b0d,USD1,BEP20,0.0
173,kucoin,TPFqcBAaaUMCSVRCqPaQ9QnzKhmuoLR6Rc,USD1,trc20usd1,0.4997
176,binance,0x29219dd400f2bf60e5a23d13be72b486d4038894,USDC,SONIC,0.01
176,bitget,0x29219dd400f2bf60e5a23d13be72b486d4038894,USDC,SONIC,0.0
176,kucoin,0x29219dd400f2bf60e5a23d13be72b486d4038894,USDC,sonicusdc,0.01
179,binance,sats,1000SATS,ORDIBTC,100000.0
179,kucoin,sats,SATS,sats,1203508400.0
181,kucoin,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,SUPER,super,10.246882
188,binance,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,SOL,0.2
188,okx,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,RAY-Solana,0.39
188,bitget,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,SOL,0.579375
188,kucoin,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,ray,1.0766
194,binance,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,GMT,SOL,15.0
194,okx,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,GMT,GMT-Solana,41.53589747
194,bitget,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,GMT,SOL,39.82477101
194,kucoin,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,GMT,gmt,73.512
208,binance,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,ACT,SOL,35.0
