Coin ID,Target Exchange,Address,Coin Name,Network,Fee
0,binance,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCROLL,0.2
0,okx,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCR-Scroll,0.5
0,bitget,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCROLL,0.2
0,htx,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,scr,0.26
2,binance,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,WLD,OPTIMISM,0.045
2,okx,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,WLD,WLD-Optimism,0.022
2,bitget,0x2cfc85d8e48f8eab294be644d9e25c3030863003,WLD,WLD,0.11933175
7,binance,TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,TRX,50.0
7,bitget,TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,TRC20,10.0
7,htx,TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,jst,5.0
12,binance,0xba12bc7b210e61e5d3110b997a63ea216e0e18f7,C,BASE,1.9
12,bitget,0xba12bc7b210e61e5d3110b997a63ea216e0e18f7,C,BASE,8.98311175
13,binance,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,SOL,0.36
13,okx,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,JTO-Solana,1.25362068
13,bitget,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,SOL,0.96618358
13,htx,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,jto,1.8439
14,binance,0x8fb238058e71f828f505582e65b1d14f8cf52067,D,BSC,0.52
14,bitget,0x8fb238058e71f828f505582e65b1d14f8cf52067,D,BEP20,7.22891567
16,binance,0x2c24497d4086490e7ead87cc12597fb50c2e6ed6,F,BASE,25.0
16,bitget,0x2c24497d4086490e7ead87cc12597fb50c2e6ed6,F,BASE,65.54368487
17,binance,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,G,BSC,1.48
19,binance,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,SOL,8.05
19,okx,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,W-Solana,18.11710963
19,bitget,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,SOL,14.958864
19,htx,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,w,27.8465
20,binance,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,SFP,BSC,0.094
20,bitget,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,SFP,BEP20,0.43165468
23,binance,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,SOL,1.31
23,okx,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,JUP-Solana,3.97684594
23,bitget,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,SOL,2.41838
23,htx,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,jup,4.6058
26,binance,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,BSC,0.23
26,okx,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,WOO-ERC20,15.02
26,bitget,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,BEP20,3.86199795
26,htx,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,woo,98.897494
27,binance,0xc748673057861a797275cd8a068abb95a902e8de,1MBABYDOGE,BSC,13.0
27,okx,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE,BABYDOGE-BSC,0.0
27,bitget,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE,BEP20,151362260.3430878
27,htx,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE,babydoge,3193478500.0
30,binance,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,FLOKI,BSC,169.0
30,okx,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,FLOKI,FLOKI-BSC,10000.0
30,bitget,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,FLOKI,BEP20,2136.44779946
30,htx,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI,floki,56103.822
32,binance,0x696f9436b67233384889472cd7cd58a6fb5df4f1,AVNT,BASE,1.0
32,okx,0x696f9436b67233384889472cd7cd58a6fb5df4f1,AVNT,AVNT-Base,1.0
32,bitget,0x696f9436b67233384889472cd7cd58a6fb5df4f1,AVNT,BASE,1.53791736
34,binance,TUpMhErZL2fhh4sVNULAbNKLokS4GjC1F4,TUSD,TRX,0.8
34,bitget,0x1c20e891bab6b1727d14da358fae2984ed9b59eb,TUSD,AVAXC-Chain,0.0
34,htx,TUpMhErZL2fhh4sVNULAbNKLokS4GjC1F4,TUSD,trc20tusd,1.0
35,binance,0xc0041ef357b183448b235a8ea73ce4e4ec8c265f,COOKIE,BSC,0.13
35,bitget,0xc0041ef357b183448b235a8ea73ce4e4ec8c265f,COOKIE,BEP20,1.78104964
36,binance,0x5c85d6c6825ab4032337f11ee92a72df936b46f6,MUBARAK,BSC,0.53
36,bitget,0x5c85d6c6825ab4032337f11ee92a72df936b46f6,MUBARAK,BEP20,7.09891151
43,binance,0x66fd8de541c0594b4dccdfc13bf3a390e50d3afd,TURTLE,BSC,0.25
44,binance,0xf2b51cc1850fed939658317a22d73d3482767591,NXPC,BSC,0.022
44,bitget,0x5e0e90e268bc247cc850c789a0db0d5c7621fb59,NXPC,AVAXC-Chain,0.44
45,binance,0x2dff88a56767223a5529ea5960da7a3f5f766406,ID,BSC,0.11
45,bitget,0x2dff88a56767223a5529ea5960da7a3f5f766406,ID,BEP20,1.40449439
46,binance,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,IO,SOL,1.03
46,bitget,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,IO,SOL,3.08641976
46,htx,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,IO,ionet,5.8498
49,binance,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,BSC,0.19
49,okx,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1INCH-ERC20,3.47
49,htx,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1inch,23.077756
51,binance,0x7448c7456a97769f6cd04f1e83a4a23ccdc46abd,MAV,ARBITRUM,3.93
54,binance,0xb5c064f955d8e7f38fe0460c556a72987494ee17,QUICK,MATIC,0.27
54,bitget,0xb5c064f955d8e7f38fe0460c556a72987494ee17,QUICK,Polygon,162.25
54,htx,0xb5c064f955d8e7f38fe0460c556a72987494ee17,QUICK,quick,0.5313
55,binance,0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8,PENDLE,ARBITRUM,0.039
55,bitget,0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8,PENDLE,ArbitrumOne,0.06209252
56,binance,e5a49d7fd57e7178e189d3965d1ee64368a1036d,MBL,ONT,4.9
56,bitget,e5a49d7fd57e7178e189d3965d1ee64368a1036d,MBL,Ontology,58.05516
56,htx,e5a49d7fd57e7178e189d3965d1ee64368a1036d,MBL,mbl,13.0
60,binance,0x7d814b9ed370ec0a502edc3267393bf62d891b62,BMT,BSC,0.24
60,bitget,FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,BMT,SOL,24.54590084
60,htx,FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,BMT,solbmt,47.525
66,binance,0x9840652dc04fb9db2c43853633f0f62be6f00f98,CGPT,BSC,0.61
66,bitget,0x9840652dc04fb9db2c43853633f0f62be6f00f98,CGPT,BEP20,2.84900285
71,binance,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,SOL,2.83
71,okx,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,LAYER-Solana,5.3202439
71,bitget,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,SOL,3.73552485
71,htx,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,layer,6.9687
72,binance,0x95cef13441be50d20ca4558cc0a27b601ac544e5,MANTA,MANTA,0.15
72,bitget,0x95cef13441be50d20ca4558cc0a27b601ac544e5,MANTA,MantaNetWork,2.81690141
73,binance,0x06864a6f921804860930db6ddbe2e16acdf8504495ea7481637a1c8b9a8fe54b::cetus::CETUS,CETUS,SUI,0.5
73,htx,0x06864a6f921804860930db6ddbe2e16acdf8504495ea7481637a1c8b9a8fe54b::cetus::CETUS,CETUS,cetus,0.3
76,binance,0xaff2e841851700d1fc101995ee6b81ae21bb87d7,SPK,BSC,0.24
76,bitget,0xaff2e841851700d1fc101995ee6b81ae21bb87d7,SPK,BEP20,4.09466875
77,binance,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,SOL,1.67
77,okx,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,ME-Solana,2.38523783
77,bitget,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,SOL,2.232642
77,htx,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,me,4.1061
81,binance,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,SOL,0.092
81,okx,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,TRUMP-Solana,0.074
81,bitget,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,SOL,0.118751
81,htx,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,trumpsol,0.2588
88,binance,0x4200000000000000000000000000000000000042,OP,OPTIMISM,0.088
88,okx,0x4200000000000000000000000000000000000042,OP,OP-Optimism,0.1
88,bitget,0x4200000000000000000000000000000000000042,OP,Optimism,0.1
88,htx,0x4200000000000000000000000000000000000042,OP,optop,1.5
94,binance,0xdaf1695c41327b61b9b9965ac6a5843a3198cf07,STO,BSC,0.2
94,bitget,0xdaf1695c41327b61b9b9965ac6a5843a3198cf07,STO,BEP20,0.94732854
96,binance,0x8729438eb15e2c8b576fcc6aecda6a148776c0f5,QI,AVAXC,13.0
101,binance,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,CAKE,BSC,0.013
101,bitget,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,CAKE,BEP20,0.05852517
101,htx,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,CAKE,cake,0.22913502
102,binance,TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,TRX,6.0
102,bitget,TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,TRC20,222.71714923
102,htx,TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,sun1,2.93
103,binance,0xfab99fcf605fd8f4593edb70a43ba56542777777,ZBT,BSC,0.17
103,bitget,0xfab99fcf605fd8f4593edb70a43ba56542777777,ZBT,BEP20,0.74586048
106,binance,0x4f9fd6be4a90f2620860d680c0d4d5fb53d1a825,AIXBT,BASE,3.56
106,bitget,0x4f9fd6be4a90f2620860d680c0d4d5fb53d1a825,AIXBT,BASE,13.75326641
109,binance,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,SOL,0.32
109,okx,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,RENDER-Solana,0.90835513
109,bitget,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,SOL,0.42698549
109,htx,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,render,0.8035
114,binance,0100000000000000000000000000000000000000,ONT,ONT,1.0
114,bitget,0100000000000000000000000000000000000000,ONT,Ontology,1.0
117,binance,0xc9d23ed2adb0f551369946bd377f8644ce1ca5c4,HYPER,ARBITRUM,0.67
117,bitget,0xc9d23ed2adb0f551369946bd377f8644ce1ca5c4,HYPER,BEP20,0.81477458
118,binance,0x47474747477b199288bf72a1d702f7fe0fb1deea,WLFI,BSC,0.23
118,okx,WLFinEv6ypjkczcS83FZqFpgFZYwQXutRbxGe7oC16g,WLFI,WLFI-Solana,10.0
124,binance,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,SOL,11.0
124,okx,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,KMNO-Solana,15.89867004
