Coin ID,Target Exchange,Address,Coin Name,Network,Fee
0,binance,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCR-Scroll,0.5
0,bitget,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCR-Scroll,0.5
0,kucoin,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCR-Scroll,0.5
0,htx,0xd29687c813d741e2f938f4ac377128810e217b1b,SCR,SCR-Scroll,0.5
2,binance,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,WLD,WLD-Optimism,0.022
2,bitget,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,WLD,WLD-Optimism,0.022
2,kucoin,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,WLD,WLD-Optimism,0.022
11,binance,core.vaulta,A,A-Vaulta,0.08
11,bitget,core.vaulta,A,A-Vaulta,0.08
11,htx,core.vaulta,A,A-Vaulta,0.08
13,binance,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,JTO-Solana,1.25362068
13,bitget,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,JTO-Solana,1.25362068
13,kucoin,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,JTO-Solana,1.25362068
13,htx,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,JTO-Solana,1.25362068
15,binance,0xf0151f528127558851b39c2cd8aa47da7418ab28,FLM,FLM-N3,1.0
15,bitget,0xf0151f528127558851b39c2cd8aa47da7418ab28,FLM,FLM-N3,1.0
19,binance,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,W-Solana,18.11710963
19,bitget,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,W-Solana,18.11710963
19,kucoin,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,W-Solana,18.11710963
19,htx,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,W,W-Solana,18.11710963
23,binance,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,JUP-Solana,3.97684594
23,bitget,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,JUP-Solana,3.97684594
23,kucoin,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,JUP-Solana,3.97684594
23,htx,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,JUP-Solana,3.97684594
26,binance,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,WOO-ERC20,15.02
26,bitget,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,WOO-ERC20,15.02
26,kucoin,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,WOO-ERC20,15.02
26,htx,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,WOO,WOO-ERC20,15.02
27,binance,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE,BABYDOGE-BSC,0.0
27,bitget,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE,BABYDOGE-BSC,0.0
27,kucoin,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE,BABYDOGE-BSC,0.0
27,htx,0xc748673057861a797275cd8a068abb95a902e8de,BABYDOGE,BABYDOGE-BSC,0.0
30,binance,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,FLOKI,FLOKI-BSC,10000.0
30,bitget,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,FLOKI,FLOKI-BSC,10000.0
30,kucoin,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,FLOKI,FLOKI-BSC,10000.0
32,binance,0x696f9436b67233384889472cd7cd58a6fb5df4f1,AVNT,AVNT-Base,1.0
32,bitget,0x696f9436b67233384889472cd7cd58a6fb5df4f1,AVNT,AVNT-Base,1.0
32,kucoin,0x696f9436b67233384889472cd7cd58a6fb5df4f1,AVNT,AVNT-Base,1.0
49,binance,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1INCH-ERC20,3.47
49,kucoin,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1INCH-ERC20,3.47
49,htx,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1INCH-ERC20,3.47
69,binance,0x471ece3750da237f93b8e339c536989b8978a438,CELO,CELO-CELO-TOKEN,0.0
69,bitget,0x471ece3750da237f93b8e339c536989b8978a438,CELO,CELO-CELO-TOKEN,0.0
71,binance,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,LAYER-Solana,5.3202439
71,bitget,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,LAYER-Solana,5.3202439
71,kucoin,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,LAYER-Solana,5.3202439
71,htx,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,LAYER-Solana,5.3202439
77,binance,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,ME-Solana,2.38523783
77,bitget,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,ME-Solana,2.38523783
77,kucoin,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,ME-Solana,2.38523783
77,htx,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,ME-Solana,2.38523783
81,binance,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,TRUMP-Solana,0.074
81,bitget,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,TRUMP-Solana,0.074
81,kucoin,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,TRUMP-Solana,0.074
81,htx,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,TRUMP-Solana,0.074
88,binance,0x4200000000000000000000000000000000000042,OP,OP-Optimism,0.1
88,bitget,0x4200000000000000000000000000000000000042,OP,OP-Optimism,0.1
88,kucoin,0x4200000000000000000000000000000000000042,OP,OP-Optimism,0.1
88,htx,0x4200000000000000000000000000000000000042,OP,OP-Optimism,0.1
109,binance,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,RENDER-Solana,0.90835513
109,bitget,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,RENDER,RENDER-Solana,0.90835513
